Id,service_name,full_address,address_key,County,x,y,Type
1,2 Radharc an Oilean,"2 Island View House, Harbour Road, Howth, Co. Dublin", Harbour Road,Dublin,328656.3,239213.6,Dental
2,Abbeyglebe Dental Practice,"The Glebe, Donegal", Donegal,Donegal,192691.824,377890.765,Dental
3,Abbeyleix Dental,"St Ritas, New Row, Abbeyleix, Co. Laois",St Ritas,Laois,243779.001,184984.725,Dental
4,Abbeytrinity Dental Practice,"High Street, Tuam, Co. Galway",High Street,Galway,143274.875,251890.078,Dental
5,Absolute Dental Care,"2 College Street, Carlow Town, Co. Carlow",College Street,Carlow,272227.038,176742.111,Dental
6,Aesthetica Dental Care,"Grange Clinic, Grange Road, Dublin 13", Grange Road,Dublin,322171.1,239820.1,Dental
7,Airport Dental Surgery,"Rathmacullig West, Ballygarvan, Co. Cork",Rathmacullig West,Cork,167549.688,66219.094,Dental
8,Alexandra Dental Practice,"6 Alexandra Terrace, O Connell Avenue, Limerick", O Connell Avenue,Limerick,157090.047,156196.25,Dental
9,Allsmile Dental Practice,"St John's Gate Street, Wexford",St John's Gate Street,Wexford,304717.191,121914.235,Dental
10,Applewood Dental Centre,"6 Applewood Village Green, Applewood, Swords, Co. Dublin", Applewood,Dublin,317389.563,248228.688,Dental
11,Ardfallen Dental Practice,"Douglas Road, Cork",Douglas Road,Cork,169240.462,70218.812,Dental
12,Ardfert Dental Practice,"Ardfert Medical Centre, Ardfert, Co. Kerry",Ardfert Medical Centre,Kerry,78789.727,120725.203,Dental
13,Ashbourne Dental Centre,"Frederick Street, Ashbourne, Co. Meath",Frederick Street,Meath,306269.969,252612.781,Dental
15,Ashbourne Dental Practice,"Frederick Street, Ashbourne, Co. Meath",Frederick Street,Meath,306269.969,252612.781,Dental
17,Ashgrove Dental,"ashgrove dental, Dublin Road, Naas, Co. Kildare", Dublin Road,Kildare,289982.994,220148.864,Dental
18,Avondale Dental Clinic,"Vevay Road, Bray, Co. Wicklow",Vevay Road,Wicklow,326589.863,217546.753,Dental
19,Ayrfield Medical Centre,"Granges Road, Kilkenny",Granges Road,Kilkenny,250022.797,156509.281,Dental
20,Balbriggan Dental Care,"59 Drogheda Street, Balbriggan, Co. Dublin",Drogheda Street,Dublin,320014.017,263989.564,Dental
21,Ballantyne Dental Practice,"Grana Oge, Garden Vale, Athlone, Co. Westmeath",Grana Oge,Westmeath,204360.872,241647.727,Dental
22,Ballina Dental Practice,"Kevin Barry Street, Ballina, Co. Mayo",Kevin Barry Street,Mayo,124222.698,318760.852,Dental
23,Ballincollig Dental,"East Gate, Ballincollig, Co. Cork",East Gate,Cork,159801.725,70788.036,Dental
24,Ballinrobe Dental Surgery,"Mason's Close, Church Lane, Ballinrobe, Co. Mayo", Church Lane,Mayo,119305.82,264325.938,Dental
25,Ballinteer Dental Centre,"47 Ballinteer Avenue, Dublin 16",Ballinteer Avenue,Dublin,316692.438,226459.357,Dental
26,Ballyconnell Dental Surgery,"Main Street, Ballyconnell, Co. Cavan",Main Street,Cavan,227291.496,318673.563,Dental
27,Ballyowen Castle Medical&Dental Centre,"Ballyowen Shopping Centre, Lucan, Co. Dublin", Lucan,Dublin,305124.964,234159.898,Dental
29,Bandon Dental Care,"66 South Main Street, Bandon, Co. Cork", Main Street,Cork,149007.375,54864.77,Dental
30,Barna Village Dental Practice,"An ChÃ©ibh, Bearna, Co. na Gaillimhe",An ChÃ©ibh,Galway,123201.6644,222907.9379,Dental
31,Bastion Court Dental Practice,"Bastion Court, Connaught Street, Athlone, Co. Westmeath", Connaught Street,Westmeath,203618.078,241299.406,Dental
32,Beacon Dental Clinic,"Beacon Court, Sandyford Industrial Estate, Dublin 18", Sandyford Industrial Estate,Dublin,318813.625,226447.031,Dental
33,Bedford Dental Practice,"Bedford Place, Navan, Co. Meath", Navan,Meath,287048.893,267654.576,Dental
34,Beechwood Dental,"9 Dunville Avenue, Dublin 6", Dunville Avenue,Dublin,316306.187,231460.965,Dental
35,Belfield Dental,"174 Stillorgan Road, Donnybrook, Dublin 4",Stillorgan Road,Dublin,318769.416,230384.639,Dental
36,Belgrave Dental Clinic,"1 Belgrave Square East, Dublin 6", Belgrave Square East,Dublin,315992.29,231737.401,Dental
37,Belvedere Dental,"54 Belvedere Drive, Lisduggan, Co. Waterford", Belvedere Drive,Waterford,259123.174,111499.395,Dental
38,Berkerley Dental Centre,"14 Greenhills Road, Walkinstown, Dublin 12",Greenhills Road,Dublin,309905.762,229193.672,Dental
39,Bilberry Dental Practice,"2 Grattan Quay, Waterford City, Co. Waterford",Grattan Quay,Waterford,260155.468,112792.866,Dental
40,Bishop Street Dental Clinic,"Bishop Street, Newcastle West, Co. Limerick",Bishop Street,Limerick,128035.328,133882.171,Dental
41,Bishop's Street Dental Practice,"8 Bishop Street, Cobh, Co. Cork",Bishop Street,Cork,179787.801,66797.531,Dental
42,Blackglen Dental,"Blackglen Village Centre, Blackglen, Dublin 18", Blackglen,Dublin,317295.188,225671.563,Dental
43,Blackrock Dental Surgery,"Main Street, Blackrock, Co. Louth",Main Street,Louth,307372.313,302886.313,Dental
44,Blackrock Orthodontics,"26 Mount Merrion Avenue, Blackrock, Co. Dublin", Merrion Avenue,Dublin,321039.25,229412.984,Dental
45,Blessing Dental Surgery,"Unit 9  Village Court, Strand Road, Portmarnock, Co. Dublin", Strand Road,Dublin,323986.212,242952.465,Dental
46,Blue Poppy Dental Practice,"Mill Court Mews, The Diamond, Donegal",Mill Court Mews,Donegal,192936.042,378330.814,Dental
47,Boroimhe Dental Practice,"Boroimhe Shopping Centre, Boroimhe, Swords, Co. Dublin", Boroimhe,Dublin,317130.438,245499.047,Dental
48,Bowe Dental Clinic,"Q Retail Park, Roxboro, Limerick", Roxboro,Limerick,158160.625,155284.141,Dental
49,Boyle Dental Centre,"Elphin Street, Boyle, Co. Roscommon",Elphin Street,Roscommon,180194.763,302294.26,Dental
50,Boyne House,"Church Hill, Navan, Co. Meath", Navan,Meath,287049.648,267703.887,Dental
51,Boyne House,"Church Hill, Navan, Co. Meath", Navan,Meath,287077.767,267699.988,Dental
52,Brasscock Dental Practice,"Unit 23  Ballinakill Shopping Centre, Dunmore Road, Waterford City", Dunmore Road,Waterford,263781.438,110255.719,Dental
53,Breaffy Dental,"Breaffy Medical and Business Centre, Castlebar, Co. Mayo", Castlebar,Mayo,118737.695,289130.406,Dental
54,Brews Hill Dental Centre,"32 Brews Hill, Navan, Co. Meath", Navan,Meath,286538.208,267599.329,Dental
56,Bridge House Dental Practice,"Bridge House, Charlotte Quay, Limerick",Bridge House,Limerick,158058.672,157342.516,Dental
57,Bridge Place Dental Surgery,"3 Bridge Place, Tralee, Co. Kerry", Tralee,Kerry,83438.789,114345.914,Dental
58,Briggs Lane Dental Practice,"Briggs Lane, Ferrybank, Arklow, Co. Wicklow",Briggs Lane,Wicklow,325020.875,173976,Dental
59,Broadale Dental Practice,"Maryborough Hill, Douglas, Cork",Maryborough Hill,Cork,171545.536,68143.844,Dental
60,Browne Orthodontics,"South Main Street, Bandon, Co. Cork",South Main Street,Cork,149090.988,54901.825,Dental
61,Burren Dental Practice,"4 High Street, Ennis, Co. Clare", High Street,Clare,133792.235,177450.059,Dental
62,Cabinteely Dental Centre,"2 St Gabriels Court, Bray Road, Dublin 18", Bray Road,Dublin,323415.188,225016.5,Dental
63,Cabra Dental Centre,"82 Cabra Road, Dublin 7", Cabra Road,Dublin,314193.367,235864.906,Dental
64,Cahill' s Dental Surgery,"108/110  Saint Mobhi Road, Dublin 9",Saint Mobhi Road,Dublin,315354.664,236971.29,Dental
65,Callan Dental Practice,"Mill Street, Callan, Co. Kilkenny",Mill Street,Kilkenny,241492.438,143784.719,Dental
66,Carlow Dental Clinic,"Montgomery House, Athy Road, Carlow", Athy Road,Carlow,272137.598,177135.423,Dental
67,Carlyle Dental Practice,"9 Goldsmith Terrace, Quinsboro Road, Bray, Co. Wicklow", Quinsboro Road,Wicklow,326657.297,218777.525,Dental
68,Carrigdene Dental Centre,"Togher Road, Cork",Togher Road,Cork,166021.48,69500.303,Dental
69,Carrigtwohill Dental Practice,"Main Street, Carrigtwohill, Co. Cork",Main Street,Cork,182310.781,73021.469,Dental
70,Castle Clinic,"150 Main Street, Castleisland, Co. Kerry", Main Street,Kerry,100382.215,109980.215,Dental
71,Castle Dental Practice,"Chapel Street, Ballyshannon, Co. Donegal",Chapel Street,Donegal,187751.516,361655.688,Dental
72,Castle Orthodontics,"Church View, Dublin Road, Portlaoise, Co. Laois", Dublin Road,Laois,247517.206,198557.443,Dental
73,Castle Orthodontics,"Kilfane House, Kilkenny Road, Carlow",Kilfane House,Carlow,271928.535,176177.803,Dental
74,Castle Orthodontics,"Castle Road, Kilkenny",Castle Road,Kilkenny,251031.414,155469.259,Dental
75,Castlebar Orthodontic Practice,"Rush Street, Castlebar, Co. Mayo",Rush Street,Mayo,114704.989,290622.059,Dental
76,Castleknock Dental Practice,"2 Main Street, Castleknock, Dublin 15", Main Street,Dublin,309026.414,237132.593,Dental
77,Castleknock Orthodontis,"Ashleigh Centre, Castleknock, Dublin 15",Ashleigh Centre,Dublin,309145.5,237086.234,Dental
78,Castlelawn Dental Pratice,"Terryland Medical Centre, Coolough Road, Galway", Coolough Road,Galway,130221.484,226811.594,Dental
79,Central Dental Clinic,"Calimar, Leixlip Road, Lucan, Co. Dublin", Leixlip Road,Dublin,303158.748,235075.077,Dental
80,Central Dental Clinic,"Unit 1, 4 Lower Main Street, Lucan, Co. Dublin", Lower Main Street,Dublin,303211.25,235153.797,Dental
81,Church Street Dental Practice,"Church Street, Kanturk, Co. Cork",Church Street,Cork,138010.421,103201.457,Dental
82,Church Street Dental Practice,"73 Church Street, Cavan", Church Street,Cavan,242033.002,305211.932,Dental
83,Church street Dental Surgery,"73 Church Street, Cavan, Co. Cavan",Church Street,Cavan,260332.594,313819.156,Dental
84,City Dental,"24A Wicklow Street, Dublin 2, Dublin", Wicklow Street,Dublin,315818.338,233908.421,Dental
85,Citywest Medical and Dental Centre,"Citywest Shopping Centre, Fortunes Walk, Saggart, Co. Dublin", Fortunes Walk,Dublin,305232.875,226931.484,Dental
86,Clane Dental Surgery,"The Woods Centre, Main Street, Clane, Co. Kildare", Main Street,Kildare,287640.878,227812.618,Dental
87,Claregalway Dental Surgery,"Baile ChlÃ¡ir, Co. na Gaillimhe",Baile ChlÃ¡ir,Galway,137011.6564,232703.3439,Dental
88,Clarendon Surgery,"65 Castleknock Road, Dublin 15",Castleknock Road,Dublin,308473.147,238183.107,Dental
89,Cleachtas FiaclÃ³ra,"PrÃ­omhshrÃ¡id, Daingean UÃ­ ChÃºis, Co. ChiarraÃ­",PrÃ­omhshrÃ¡id,Kerry,44786.1213,101231.9878,Dental
90,Cleachtas FiaclÃ³ra,"Teach TrÃ¡chtÃ¡la, BÃ³thar na SlÃ©ibhe, Maigh Cuilinn, Co. na Gaillimhe",Teach TrÃ¡chtÃ¡la,Galway,121399.6804,232498.3129,Dental
91,Clifden Dental Practcie,"Station House Courtyard, Clifden, Co. Galway",Station House Courtyard,Galway,66081.953,250637.344,Dental
92,"Clinic FiaclÃ³ireachta Mhaigh Cuilinn,","Aonad 2 GÃ¡irdÃ­n MhÃ¡ire, Cill RÃ¡ine, Maigh Cuilinn, Co. na Gaillimhe",Aonad 2 GÃ¡irdÃ­n MhÃ¡ire,Galway,121299.4004,232756.4999,Dental
93,Clinical Dental Technician,"Main Street, Sallins, Co. Kildare, W91tx26",Main Street,Kildare,289074.8136,222841.9219,Dental
94,Clinical Dental Technician,"Unit 1, Childers Road Enterprise Centre, Childers Road, Limerick, V94hx70",Childers Road,Limerick,159444.6184,156171.3989,Dental
95,Clinical Dental Technician,"56a Carysfort Avenue, Blackrock, Co. Dublin, A94c890", Carysfort Avenue,Dublin,321345.3006,229199.5999,Dental
96,Clinical Dental Technician,"61/62 Patrick Street, Dublin 8, D08pdh5", Patrick Street,Dublin,315064.4996,233693.9229,Dental
97,Clinical Dental Technician,"Henry Street Medical Centre, Henry Street, Roscommon, F42vn32", Henry Street,Roscommon,187213.4065,264139.781,Dental
98,Clinical Dental Technician,"37 Glaslough Street, Monaghan, H18a096",Glaslough Street,Monaghan,267263.9065,334005.3811,Dental
99,Clinical Dental Technician,"27 Church Street, Portlaoise, Co. Laois, R32pf89",Church Street,Laois,246915.025,198397.1858,Dental
100,Clinical Dental Technician,"Unit 1d Friary Business Park, Friary Road, Naas, Co. Kildare, W91pr53", Friary Road,Kildare,289490.1836,219559.9149,Dental
101,Clinical Dental Technician,"17 Manor Street, Waterford, X91f25a",Manor Street,Waterford,260558.4655,111907.5108,Dental
102,Clinical Dental Technician,"Walkinstown Medical Centre, 133 Walkinstown Road, Dublin 12, D12px7a", Walkinstown Road,Dublin,311132.2266,231144.5969,Dental
103,Clinical Dental Technician,"2 Priory Square, Dean Street, Kilkenny, R95n7xr", Dean Street,Kilkenny,250245.8235,156257.0719,Dental
104,Clinical Dental Technician ,"4 Old Dublin Road, Carlow", Old Dublin Road,Carlow,272263.3106,177013.0139,Dental
105,Clinical Dental Technician - Q Denture,"Rose Cottage, Main Street, Lucan Village, Co. Dublin, K78e021", Main Street,Dublin,303105.0956,235099.7319,Dental
106,Clinical Dental Technician and Dental Practice,"Abbey Street, Wicklow",Abbey Street,Wicklow,331311.9702,193964.8278,Dental
107,Clonakilty Dental Centre,"5 Western Road, Clonakilty, Co. Cork",Western Road,Cork,138275.428,41523.807,Dental
108,Clontarf Dental Practice,"189 Clontarf Road, Dublin 3",Clontarf Road,Dublin,320101.646,235853.623,Dental
109,Clyde Court Dental,"5 Clyde Court, Clyde Road, Ballsbridge, Dublin 4", Clyde Road,Dublin,317614.625,232447.831,Dental
110,Confidental,"29 Castle Street, Cahir, Co. Tipperary",Castle Street,Tipperary,205144.665,124716.568,Dental
111,Conor Clune Dental Practice,"Douglas Medical Centre, Douglas, Cork", Douglas,Cork,169988.017,69506.356,Dental
112,Coole Dental Practice,"Coole Dental, Coole, Co. Westmeath", Coole,Westmeath,242152.5,272096,Dental
113,Corabbey Dental Clinic,"Unit 1  Corabby Court, Midleton, Co. Cork", Midleton,Cork,188335.125,73475.828,Dental
114,Cork City Dental,"Blackpool Bridge, Cork",Blackpool Bridge,Cork,167425.578,73303.453,Dental
115,Cork City Dental,"4 Lavitt's Quay, Cork",Lavitt's Quay,Cork,167620.484,72046.563,Dental
116,Cork Clinic Orthodontics,"Suite 23  Cork Clinic, Western Road, Cork", Western Road,Cork,165719.915,71326.568,Dental
117,Cork Dental Care,"Unit 1, 1 Georges Quay, Cork",Georges Quay,Cork,167707.99,71437.152,Dental
118,Cork Dental Care,"6 Mount Verdon Terrace, Wellington Road, Cork", Wellington Road,Cork,168114.693,72326.285,Dental
119,Cork Dental Clinic,"Old Quarter House, Ballincollig, Co. Cork", Ballincollig,Cork,159431.797,70967.383,Dental
120,Cork House Dental Clinic,"Cork House, Wine Street, Sligo", Wine Street,Sligo,168848.888,336051.032,Dental
121,Cork Road Clinic,"Cork Road, Carrigaline, Co. Cork",Cork Road,Cork,173070.031,62864.363,Dental
122,Cornmarket Dental Practice,"Cornmarket Tower, Robert Street, Limerick", Robert Street,Limerick,157879.682,157068.993,Dental
123,Corrib Dental,"Calbro Court, Tuam Road, Galway", Tuam Road,Galway,130970.906,226476.563,Dental
124,Court Street Dental Centre,"31 Court Street, Enniscorthy, Co. Wexford",Court Street,Wexford,297243.578,139729.738,Dental
125,Cresent Dental,"Dooradoyle House, Dooradoyle Road, Limerick",Dooradoyle House,Limerick,156390.734,154082.203,Dental
126,Crestfield Dental Practice,"Glanmire Medical Centre, Glanmire, Co. Cork",Glanmire Medical Centre,Cork,172935.453,75305.352,Dental
127,Crosslane Medical Clinic,"Crosslanes, Drogheda, Co. Louth",Crosslanes,Louth,308456.401,276187.732,Dental
128,Crotty Orthodontics,"Rhodaville House, Douglas, Co. Cork",Rhodaville House,Cork,169214.004,70176.522,Dental
129,Crotty Orthodontics,"10 Wolfe Tone Way, Clonakilty, Co. Cork",Wolfe Tone Way,Cork,138891.617,41535.269,Dental
130,Daly Dental Surgery,"Eastland House, Dublin Road, Tuam, Co. Galway",Eastland House,Galway,143711.723,251836.616,Dental
131,David Mc Conville Specialist Dentistry,"Tirconaill Street, Donegal",Tirconaill Street,Donegal,193026.332,378650.455,Dental
132,Dean St Dental Practice,"3 Priory Square, Dean Street, Kilkenny City",Priory Square,Kilkenny,250316.157,156230.834,Dental
133,Declan Ward Orthodontics,"208 Botanic Avenue, Glasnevin, Dublin 9",Botanic Avenue,Dublin,315324.753,237188.706,Dental
134,Dennehy's Cross Dental Practice,"Beltra, Model Farm Road, Cork", Model Farm Road,Cork,165106.487,70834.603,Dental
135,Denny Street Dental Surgery,"11 Denny Street, Tralee, Co. Kerry",Denny Street,Kerry,83611.2,114296.329,Dental
136,Dental Centre,"Market Cross, James Street, Kilkenny City, Co. Kilkenny", James Street,Kilkenny,250471.421,155938.594,Dental
137,Dental Clinic,"Markievicz House, Barrack Street, Sligo",Markievicz House,Sligo,169129.334,336456.606,Dental
138,Dental Clinic,"Navan Gate, Trim, Co. Meath",Navan Gate,Meath,280382.344,257077.625,Dental
140,Dental Options,"Clane General Hospital, Clane, Co. Kildare", Clane,Kildare,286654.188,227319.188,Dental
141,Dental Pracice,"37 North Strand Road, Dublin 3",North Strand Road,Dublin,316973.778,235501.688,Dental
142,Dental Pracrtice,"River Road, Blanchardstown, Dublin 15",River Road,Dublin,308274.313,238550.906,Dental
143,Dental Practice,"99 Upper Georges Street, Dun Laoghaire, Co. Dublin", Upper Georges Street,Dublin,324498.688,228398.063,Dental
144,Dental Practice,"12 Dodsboro Road, Lucan, Co. Dublin", Dodsboro Road,Dublin,302473.614,234612.928,Dental
145,Dental Practice,"Lower Main Street, Lucan, Co. Dublin",Lower Main Street,Dublin,303412.094,235370.266,Dental
146,Dental Practice,"2 Mount Pleasant, Sandycove Road, Sandycove, Co. Dublin", Sandycove Road,Dublin,325471.969,227841.641,Dental
147,Dental Practice,"Cumberland House, Emmet Square, Birr, Co. Offaly",Cumberland House,Offaly,206018.411,205074.008,Dental
148,Dental Practice,"Chapel Lane, Ferbane, Co. Offaly",Chapel Lane,Offaly,211400.875,224509,Dental
149,Dental Practice,"Rock House, Cormac Street, Tullamore, Co. Offaly", Cormac Street,Offaly,233637.797,224593.68,Dental
150,Dental Practice,"Patrick Street, Tullamore, Co. Offaly",Patrick Street,Offaly,233828.129,225133.267,Dental
151,Dental Practice,"3 Jessop Street, Portlaoise, Co. Laois",Jessop Street,Laois,246960.947,198419.772,Dental
152,Dental Practice,"Roslevin, Ballymahon Road, Athlone, Co. Westmeath", Ballymahon Road,Westmeath,204490.797,241883.656,Dental
153,Dental Practice,"Medical Centre, Church Street, Moate, Co. Westmeath", Church Street,Westmeath,218401.016,238475.938,Dental
154,Dental Practice,"Castle Street, Mullingar, Co. Westmeath",Castle Street,Westmeath,243802.665,253137.785,Dental
155,Dental Practice,"Martin's Lane, Mullingar, Co. Westmeath",Martin's Lane,Westmeath,243655.406,253067.375,Dental
156,Dental Practice,"5 Keon's Terrace, Longford, Co. Longford",Keon's Terrace,Longford,213476.913,275195.294,Dental
157,Dental Practice,"Earls Street, Longford, Co. Longford",Earls Street,Longford,213456.411,274986.676,Dental
158,Dental Practice,"Barrack Street, Bailieborough, Co. Cavan",Barrack Street,Cavan,267731.625,296684.813,Dental
159,Dental Practice,"Onomy House, Main Street, Castleblayney, Co. Monaghan", Main Street,Monaghan,282729.442,319751.389,Dental
160,Dental Practice,"12A The Diamond, Monaghan, Co. Monaghan",The Diamond,Monaghan,267305.122,333792.861,Dental
