id,name,full_address,address_key,County,eircode,x,y,Type
1,Lusk,"Main Street, Lusk, Co. Dublin.",Main Street,Dublin,,321680.281,254507.844,Healthcenters
2,Dowra,"Drumnafinnila, Dowra, Co. Leitrim",Drumnafinnila,Leitrim,,199020.2,326933.28,Healthcenters
3,Clonakilty,"Primary Care Centre Hospital Grounds, Scartagh, Clonakilty, Co. Cork.", Scartagh,Cork,,139366.453,42295.805,Healthcenters
4,Hartstown,"Cherryfield Lawns, Hartstown, Dublin 15",Cherryfield Lawns,Dublin15,,305087.25,239159.41,Healthcenters
5,The Ballagh,"Ballymurry, The Ballagh, Enniscorthy, Co. Wexford.",Ballymurry,Wexford,,307156.38,137657.34,Healthcenters
6,Milltown,"Bridge Street, Milltown, Co. Kerry",Bridge Street,Kerry,,82700.25,100428.22,Healthcenters
7,Butler Centre,"Butler Community Centre, Saint John's Park, Waterford.", Saint John's Park,Waterford,,260958.048,110256.006,Healthcenters
8,Carigeen,"Church Hall, Carigeen, Co. Kilkenny.",Church Hall,Kilkenny,,253571.156,113447.023,Healthcenters
9,Ferrybank,"Community Hall, Ferrybank, Waterford.", Ferrybank,Waterford,,261541.14,113159.563,Healthcenters
10,Kill,"Community Hall, Kill, Co. Waterford.", Kill,Waterford,,245314.5,102968.672,Healthcenters
11,Passage East,"Community Hall, Passage East, Co. Waterford.", Passage East,Waterford,,270296.625,110186.57,Healthcenters
12,Emly,"Galtee View, Emly, Co. Tipperary.",Galtee View,Tipperary,,176343.531,134599.328,Healthcenters
13,Kilsheelan,"Chapel Road, Kilsheelan, Clonmel, Co. Tipperary.",Chapel Road,Tipperar,,228587.734,123534.672,Healthcenters
14,Ballymahon,"Ballymahon, Co. Longford.",Ballymahon,Longford,,215508.84,257247.07,Healthcenters
15,Muirhevnamore,"Muirhevnamore, Co. Louth.",Muirhevnamore,Louth,,306288.26,305843.059,Healthcenters
16,Oylegate,"Oylegate, Enniscorthy, Co. Wexford.",Oylegate,Wexford,,300187.59,131287.98,Healthcenters
17,Rosslare,"St. Martin's Road, Rosslare Harbour, Co. Wexford.",St. Martin's Road,Wexford,,313510.25,112152.484,Healthcenters
18,Oldcastle,"Oldcastle, Co. Meath.",Oldcastle,Meath,,255420.406,280261.094,Healthcenters
19,Dillons Cross,"Harrington Square, Ballyhooly Road, Cork.",Harrington Square,Cork,,168606.63,72939.482,Healthcenters
20,Rockchapel,"Community Hall, Rockchapel, Co. Cork.", Rockchapel,Cork,,121733.609,115744.703,Healthcenters
21,Paulstown,"Gowran Road, Paulstown, Co. Kilkenny.",Gowran Road,Kilkenny,,266208.56,159397.63,Healthcenters
22,Stradbally,"Credit Union Building, Stradbally, Co. Waterford.",Credit Union Building,Waterford,,237068.016,97907.102,Healthcenters
23,Ballymacarbry,"Four Mile Water, Clonmel, Co. Tipperary.",Four Mile Water,Tipperary,,216956.844,114236.133,Healthcenters
24,Ballysloe,"Ballysloe, Gortnahoe, Co. Tipperary.",Ballysloe,Tipperary,,226608.063,154042.984,Healthcenters
25,Bansha,"Main Street, Bansha, Co. Tipperary.",Main Street,Tipperary,,195820.969,132731.641,Healthcenters
26,Cahir,"Pearse Street, Cahir, Co. Tipperary.",Pearse Street,Tipperary,,205461.05,124692.094,Healthcenters
27,Cappawhite,"Cappawhite, Co. Tipperary.",Cappawhite,Tipperary,,188961.484,147828.516,Healthcenters
28,Carrick on Suir,"Waterford Road, Carrick on Suir, Co. Tipperary.",Waterford Road,Tipperary,,240682.853,121917.113,Healthcenters
29,Clonea,"Clodagh Drive, Clonea Power, Carrick, Co. Tipperary.",Clodagh Drive,Tipperary,,237871.469,114568.656,Healthcenters
30,Mullinahone,"Carrick Steet, Mullinahone, Co. Tipperary.",Carrick Steet,Tipperary,,233751.22,140229.98,Healthcenters
31,New Inn,"New Inn, Cashel, Co. Tipperary.",New Inn,Tipperary,,208349.453,132097.516,Healthcenters
32,Newcastle,"Newcastle, Clonmel, Co. Tipperary.",Newcastle,Tipperary,,213029.984,113360.086,Healthcenters
33,Tipperary,"St. Vincent's Hospital, Tipperary Town, Co. Tipperary.",St. Vincent's Hospital,Tipperary,,189375.702,135046.053,Healthcenters
34,Bannow,"Bannow, Duncormick, Co. Wexford.",Bannow,Wexford,,288640.41,111034.17,Healthcenters
35,Blackwater,Blackwater Co. Wexford,Blackwater Co. Wexford,Wexford,,312409.813,133982.906,Healthcenters
36,Bree,"Bree, Enniscorthy, Co. Wexford.",Bree,Wexford,,293112.88,131126.03,Healthcenters
37,Bridgetown,"Bridgetown, Co. Wexford.",Bridgetown,Wexford,,298892.687,109886.218,Healthcenters
38,Bunclody,"Mill Road, Bunclody, Enniscorthy, Co. Wexford.",Mill Road,Wexford,,290985.5,156328.688,Healthcenters
39,Camolin,"Camolin, Enniscorthy, Co. Wexford.",Camolin,Wexford,,306965.656,153034.187,Healthcenters
40,Campile,"Ballykeeroge, Campile, New Ross, Co. Wexford.",Ballykeeroge,Wexford,,272017.125,116040.016,Healthcenters
41,Castlebridge,"Castlebridge, Co. Wexford.",Castlebridge,Wexford,,305586.781,126574.93,Healthcenters
42,Clonroche,"Clonroche, Enniscorthy, Co. Wexford.",Clonroche,Wexford,,293111.75,131122.922,Healthcenters
43,Enniscorthy,"Millpark Road, Enniscorthy, Co. Wexford.",Millpark Road,Wexford,,297398.23,139531.883,Healthcenters
44,Ferns,"Ferns, Enniscorthy, Co. Wexfrod.",Ferns,Wexfrod,,301469.56,149901.868,Healthcenters
45,Taghmon,"Main Street, Taghmon, Co. Wexford.",Main Street,Wexford,,292036.42,119782.748,Healthcenters
46,Wexford,"County Clinic, Grogans Road, Wexford",County Clinic,Wexford,,304722.262,121436.93,Healthcenters
47,Caltra,"Caltra, Ballinasloe, Co. Galway.",Caltra,Galway,,170890.703,242827.156,Healthcenters
48,Clifden,"Hospital Road, Clifden, Co. Galway.",Hospital Road,Galway,,66195.977,250715.875,Healthcenters
49,Corrandulla,"Corrandulla, Co. Galway.",Corrandulla,Galway,,133968.125,239092.938,Healthcenters
50,Craughwell,"Killora, Craughwell, Co. Galway.",Killora,Galway,,151134.02,219799.377,Healthcenters
51,Dunmore,"The Square, Dunmore, Co. Galway.",The Square,Galway,,150811.234,263245.656,Healthcenters
52,Glenamaddy,"Kilkerrin Road, Glenamaddy, Ballinasloe, Co. Galway.",Kilkerrin Road,Galway,,162961.578,261801.813,Healthcenters
53,Gort,"Ennis Road, Gort, Co. Galway.",Ennis Road,Galway,,145492.992,201593.565,Healthcenters
54,Gorteeney,"Gorteeney, Woodford, Loughrea, Co. Galway.",Gorteeney,Galway,,175743.859,196549.891,Healthcenters
55,Headford,"Galway Road, Headford, Co. Galway.",Galway Road,Galway,,126529.094,247027.922,Healthcenters
56,Kilconnell,"Kilconnell, Ballinasloe, Co. Galway.",Kilconnell,Galway,,173551.984,231431.094,Healthcenters
57,Killimor,"Killimor, Ballinasloe, Co. Galway.",Killimor,Galway,,180430.813,212854.922,Healthcenters
58,Kiltormer,"Mount Prospect, Kiltormer, Co. Galway.",Mount Prospect,Galway,,182321.88,220461.98,Healthcenters
59,Lackagh,"Lackaghmore, Turloughmore, Athenry, Co. Galway",Lackaghmore,Galway,,140578.75,235766.875,Healthcenters
60,Laurencetown,"Laurencetown, Ballinasloe, Co. Galway.",Laurencetown,Galway,,187910,220608,Healthcenters
61,Leenane,"Derraheeda, Leenane, Co. Galway.",Derraheeda,Galway,,88034.094,261846.063,Healthcenters
62,Liscune,"Liscune Lower, Ballymacward, Co. Galway.",Liscune Lower,Galway,,168968.359,235043.797,Healthcenters
63,Mervue,"Michael Collins Road, Mervue, Galway.",Michael Collins Road,Galway,,132260.794,226101.443,Healthcenters
64,Milltown,"Milltown, Tuam, Co. Galway.",Milltown,Galway,,140694.875,262708.125,Healthcenters
65,Monivea,"Monivea, Athenry, Co. Galway.",Monivea,Galway,,153203.379,236245.923,Healthcenters
66,Mountbellew,"College Road, Mountbellew, Co. Galway.",College Road,Galway,,167076.594,246607.734,Healthcenters
67,Oranmore,"Dublin Road, Oranmore, Co. Galway.",Dublin Road,Galway,,138524.391,224853.016,Healthcenters
68,Oughterard,"Lemon Field, Oughterard, Co. Galway.",Lemon Field,Galway,,112483.57,242779.25,Healthcenters
69,Renvyle,"Tully More, Renvyle, Co. Galway.",Tully More,Galway,,69279.61,262490.41,Healthcenters
70,Shantalla,"25 Newcastle Road, Galway.",Newcastle Road,Galway,,128938.94,225427.4,Healthcenters
71,Tuam,"Vicar Street, Tuam, Co. Galway.",Vicar Street,Galway,,143456.2,251650.9,Healthcenters
72,Tynagh,"Tynagh, Loughrea, Co. Galway.",Tynagh,Galway,,175078.75,211077.406,Healthcenters
