id,service_name,full_address,address_key,County,x,y,Type
1,Abbey Haven Care Centre & Nursing Home,"Abbey Haven Care Centre & Nursing Home, Carrick Road, Boyle, Roscommon, Roscommon", Carrick Road,Roscommon,181885.281,302267.625,NursingHome
2,AbbeyBreaffy Nursing Home,"AbbeyBreaffy Nursing Home, Dublin Road, Castlebar, Co. Mayo, Mayo", Dublin Road,Mayo,119310.3161,292487.6856,NursingHome
3,Abbeygale House,"Farnogue Residential Healthcare Unit, Old Hospital Road, Co Wexford, Wexford", Old Hospital Road,Wexford,303521.756,122155.765,NursingHome
4,Abbeylands Nursing Home & Alzheimer Unit,"Abbeylands Nursing Home & Alzheimer Unit, Carhoo, Kildorrery, Co. Cork, Cork", Carhoo,Cork,170635.1378,110208.8374,NursingHome
5,Abbot Close Nursing Home,"Abbot Close Nursing Home, St. Marys Terrace, Askeaton, Co. Limerick, Limerick", St. Marys Terrace,Limerick,133874.4153,150329.1452,NursingHome
6,Aclare House Nursing Home,"Aclare House, 4/5 Tivoli Terrace South, Dun Laoghaire, Co. Dublin, A96fx74", Tivoli Terrace South,Dublin,323842.3576,228137.8149,NursingHome
7,Acorn Lodge,"Acorn Lodge, Ballykelly, Cashel, Co. Tipperary, Tipperary", Ballykelly,Tipperary,210354.8139,145383.9286,NursingHome
8,Adare and District Nursing Home,"Adare and District Nursing Home, Croagh, Co. Limerick, Limerick", Croagh,Limerick,141078.1629,143045.4189,NursingHome
9,Ailesbury Private Nursing Home,"58 Park Avenue, Dublin 4, D04y437",Park Avenue,Dublin,319096.0046,232004.0759,NursingHome
10,Aisling House Nursing Home ,"Seabank, Arklow, Co. Wicklow, Y14x670", Arklow,Wicklow,326210.0006,175852.3129,NursingHome
11,Altadore Nursing Home,"Altadore, Glenageary Road Upper, Glenageary, Co. Dublin, A96ew77", Glenageary Road Upper,Dublin,324719.6106,226982.3029,NursingHome
12,Alzheimer Care Centre,"Alzheimer Care Centre, Highfield Hospital, Swords Road, Whitehall, Dublin 9 Dublin 9", Highfield Hospital,Dublin,316625.7258,238112.1157,NursingHome
13,Amberley Home and Retirement Cottages,"Amberley Home and Retirement Cottages, Acres, Fermoy, Co. Cork, Cork", Acres,Cork,177544.0772,100066.6778,NursingHome
14,An Teaghlach Uilinn,"Cill RÃ¡inne, Maigh Chuilinn, Co. na Gaillimhe", Maigh Chuilinn,Galway,121671.0452,233178.3745,NursingHome
15,Annabeg Nursing Home,"Meadow Court, Ballybrack, Glenageary, Co. Dublin, A96kw54", Ballybrack,Dublin,324829.0672,224108.1679,NursingHome
16,Aonad Altranas Pobail-ArÃ¡s RÃ³nÃ¡in,"Mainistir, OileÃ¡in Ãrann, Co. na Gaillimhe", OileÃ¡in Ãrann,Galway,87144.86329,209996.3952,NursingHome
17,Araglen House Nursing and Convalescent Home,"Araglen House Nursing and Convalescent Home, Loumanagh, Boherbue, Mallow, Co Cork Cork", Loumanagh,Cork,125815.0454,100537.8365,NursingHome
18,Aras Ghaoth Dobhair,"MÃ­n an Iolair, DoirÃ­ Beaga, Co. DhÃºn na nGall", DoirÃ­ Beaga,Donegal,181296.8988,425320.1354,NursingHome
19,Aras Mathair Phoil,"Aras Mathair Phoil, Castlerea, Co. Roscommon, Roscommon", Castlerea,Roscommon,167653.1689,279933.7288,NursingHome
20,Aras Mhic Dara,"An CheathrÃº Rua, Co. na Gaillimhe", Co. na Gaillimhe,Galway,92755.36185,224606.3427,NursingHome
21,Aras Mhic Shuibhne Nursing Home,"Aras Mhic Shuibhne Nursing Home, Mullinasole, Laghey, Co. Donegal, Donegal", Mullinasole,Donegal,192772.8237,373329.3084,NursingHome
22,Aras Mhuire Community Nursing Unit,"Aras Mhuire Community Nursing Unit, Dublin Road, Tuam, Co. Galway, Galway", Dublin Road,Galway,143821.4408,251531.7911,NursingHome
23,Aras Mhuire Nursing Facility,"Aras Mhuire Nursing Home, Medical Missionaries of Mary, Beechgrove, Drogheda, Louth Louth", Medical Missionaries of Mary,Louth,308898.0139,275970.7027,NursingHome
24,Aras Mhuire Nursing Home,"Aras Mhuire Nursing Home, Greenville, Listowel, Co. Kerry, Kerry", Greenville,Kerry,98262.93781,133805.6151,NursingHome
25,Aras Ui Dhomhnaill,"Aras Ui Dhomhnaill, Loughnakey, Milford, Co. Donegal, Donegal", Loughnakey,Donegal,220222.5304,424943.1334,NursingHome
26,Archersrath Nursing Home,"Archersrath Nursing Home, Archersrath, Kilkenny, Kilkenny, Kilkenny", Archersrath,Kilkenny,253387.1927,156859.346,NursingHome
27,Archview Lodge,"NURSING HOME, DRUMANY, LETTERKENNY, CO. DONEGAL", DRUMANY,Donegal,219816.2988,410618.859,NursingHome
28,Ard Na Ri Nursing Home,"Ard Na RÃ­ Nursing Home, Holycross, Bruff, Co. Limerick, Limerick", Holycross,Limerick,162811.2459,136099.3086,NursingHome
29,Ardeen Nursing Home,"Ardeen Nursing Home, Abbey Road, Thurles, Co. Tipperary, Tipperary", Abbey Road,Tipperary,211645.005,158275.1981,NursingHome
30,Ardsley Nursing Home,"Ardsley Nursing Home, Rocky Road, Farran, Co. Cork, Cork", Rocky Road,Cork,150531.2796,69327.16382,NursingHome
31,Arus Breffni Nursing Unit,"Arus Breffni Nursing Unit, Manorhamilton, Co. Leitrim, Leitrim", Manorhamilton,Leitrim,188871.9896,339824.0206,NursingHome
32,Arus Carolan Community Nursing Unit,"Arus Carolan Community Nursing Unit, Mohill, Co. Leitrim, Leitrim", Mohill,Leitrim,208896.6548,296969.4009,NursingHome
33,Asgard Lodge Nursing Home,"Asgard Lodge Nursing Home, Monument Lane, Kilbride, Arklow, Co. Wicklow Wicklow", Monument Lane,Wicklow,324568.5535,174855.064,NursingHome
34,Ashborough Lodge,"Ashborough Lodge, Lyre Road, Milltown, Co. Kerry, Kerry", Lyre Road,Kerry,82454.05045,100079.4471,NursingHome
35,Ashbury Private Nursing Home,"1a Kill Lane, Kill O' The Grange, Blackrock, Co. Dublin, A94rk81",Kill Lane,Dublin,322783.5016,227108.9879,NursingHome
36,Ashford House Nursing Home,"Ashford House Nursing  Home, 6 Tivoli Terrace East, Dun Laoghaire, Co. Dublin, Co. Dublin", Tivoli Terrace East,Dublin,324040.2277,228167.1633,NursingHome
37,Ashlawn House Nursing Home,"Ashlawn House Nursing Home, Limerick Road, Nenagh, Co. Tipperary, Tipperary", Limerick Road,Tipperary,181502.7802,176114.5469,NursingHome
38,Ashley Lodge Nursing Home,"Tully East, Kildare, R51vw22", Kildare,Kildare,273531.6256,209999.4999,NursingHome
39,Athlunkard House Nursing Home at St. Nicholas,"Athlunkard House Nursing Home at St. Nicholas, Athlunkard, Westbury, Co. Clare, Clare", Athlunkard,Clare,159075.3125,159363.4083,NursingHome
40,Atlanta Nursing Home,"Sidmonton Road, Bray, Co. Wicklow, A98kw25", Bray,Wicklow,326739.8806,218394.5679,NursingHome
41,Ave Maria Nursing Home,"Ave Maria Nursing Home, Tooreen, Ballyhaunis, Co. Mayo, Mayo", Tooreen,Mayo,148924.4157,286727.1658,NursingHome
42,Bailey House Nursing Home,"Bailey House Nursing Home, Killenaule, Thurles, Co. Tipperary, Tipperary", Killenaule,Tipperary,222085.9704,146519.9368,NursingHome
43,Bailey's Nursing Home,"Bailey's Nursing Home, Mountain Road, Tubbercurry, Co. Sligo, Sligo", Mountain Road,Sligo,152465.0492,311276.0791,NursingHome
44,Ballard Lodge Nursing Home,"Ballard Lodge Nursing Home, Borris Road, Portlaoise, Co. Laois, Laois", Borris Road,Laois,247440.8314,198686.5353,NursingHome
45,Ballinamore House Nursing Home,"Ballinamore House Nursing Home, Ballinamore, Kiltimagh, Co. Mayo, Mayo", Ballinamore,Mayo,131324.0806,287099.336,NursingHome
46,Ballincollig Community Nursing Unit,"Ballincollig Community Nursing Unit, Murphy's Barracks, Ballincollig, Cork, Cork", Murphy's Barracks,Cork,159575.964,70762.93167,NursingHome
47,Ballincurrig Care Centre Limited,"Ballincurrig Care Centre, Ballincurrig, Leamlara, Co. Cork, Cork", Ballincurrig,Cork,184511.6831,81724.89709,NursingHome
48,Ballinderry Nursing Home,"Ballinderry Nursing Home, Kilconnell, Ballinasloe, Co. Galway, Galway", Kilconnell,Galway,173041.4579,230576.3578,NursingHome
49,Ballygar Nursing Home,"Ballygar Nursing Home, Ballygar, Co. Galway, Galway", Ballygar,Galway,178172.5681,252591.5604,NursingHome
50,Baltinglass District Hospital,"Baltinglass District Hospital, Baltinglass, Co. Wicklow, Wicklow", Baltinglass,Wicklow,286792.5304,188575.7702,NursingHome
51,Bandon Community Hospital,"Bandon Community Hospital, Bandon, Co. Cork, Cork", Bandon,Cork,149151.3607,55168.15099,NursingHome
